1,0.00056
2,0.00099
3,0.00101
4,0.00076
5,0.00043
6,0.00031
7,0.00013
8,4e-05
9,4e-05
10,2e-05
11,1e-05
12,1e-05
13,0
14,0
15,0
16,0
-1,0.00071
-2,0.00172
-3,0.00203
-4,0.00243
-5,0.00375
-6,0.00397
-7,0.00524
-8,0.00604
-9,0.00765
-10,0.00967
-11,0.01213
-12,0.01376
-13,0.01804
-14,0.01962
-15,0.02498
-16,0.02684
-17,0.03244
-18,0.03402
-19,0.04157
-20,0.04273
-21,0.04991
-22,0.05038
-23,0.05663
-24,0.05469
-25,0.06053
-26,0.05542
-27,0.05847
-28,0.05294
-29,0.05274
-30,0.0432
-31,0.04042
-32,0.03264
-33,0.02693
-34,0.01811
-35,0.01491
-36,0.00825
-37,0.00558
-38,0.00264
-39,0.00136
-40,0.00051
-41,0.0001
