1,0.00082
2,0.0016
3,0.00192
4,0.00112
5,0.00075
6,0.00034
7,0.00022
8,0.00011
9,3e-05
10,0
11,0
12,0
13,0
-1,0.00122
-2,0.00277
-3,0.00339
-4,0.00441
-5,0.00597
-6,0.00649
-7,0.00856
-8,0.01079
-9,0.01386
-10,0.01542
-11,0.02041
-12,0.02333
-13,0.02959
-14,0.0328
-15,0.03972
-16,0.04193
-17,0.05102
-18,0.05167
-19,0.06253
-20,0.06045
-21,0.06864
-22,0.06465
-23,0.06869
-24,0.06102
-25,0.05876
-26,0.04938
-27,0.04385
-28,0.03247
-29,0.0258
-30,0.01575
-31,0.01034
-32,0.00491
-33,0.00203
-34,0.00048
