1,0.00079
2,0.00195
3,0.00367
4,0.00429
5,0.00593
6,0.00673
7,0.00869
8,0.0102
9,0.01349
10,0.01612
11,0.01991
12,0.02241
13,0.02833
14,0.03059
15,0.0365
16,0.03926
17,0.04644
18,0.04864
19,0.05475
20,0.0546
21,0.05924
22,0.05769
23,0.05976
24,0.0567
25,0.05542
26,0.04889
27,0.04543
28,0.0403
29,0.03369
30,0.02548
31,0.01937
32,0.01374
33,0.01007
34,0.00595
35,0.00357
36,0.00197
37,0.00064
38,0.00035
39,7e-05
40,3e-05
-1,0.00148
-2,0.00197
-3,0.00166
-4,0.00096
-5,0.00076
-6,0.00054
-7,0.00035
-8,0.00029
-9,0.00014
-10,9e-05
-11,7e-05
-12,2e-05
-13,3e-05
-14,0
-15,0
-16,0
-17,0
-18,0
-19,0
-20,0
-21,0
-22,0
-23,0
