1,0.00099
2,0.00195
3,0.00249
4,0.00159
5,0.00103
6,0.00058
7,0.00052
8,0.0002
9,7e-05
10,7e-05
11,0
12,0
13,0
14,0
15,0
16,0
17,0
-1,0.00148
-2,0.00271
-3,0.00363
-4,0.00451
-5,0.00615
-6,0.00656
-7,0.00916
-8,0.01034
-9,0.01383
-10,0.01517
-11,0.01894
-12,0.02088
-13,0.0249
-14,0.02739
-15,0.03336
-16,0.03517
-17,0.04096
-18,0.04251
-19,0.04898
-20,0.04877
-21,0.05546
-22,0.05382
-23,0.05889
-24,0.05461
-25,0.05623
-26,0.05002
-27,0.05139
-28,0.043
-29,0.03966
-30,0.0303
-31,0.02693
-32,0.01849
-33,0.01473
-34,0.00941
-35,0.00623
-36,0.00328
-37,0.00181
-38,0.00061
-39,0.00023
-40,2e-05
